ElapsedSec,Phase,AnomalyCount,HighlightAnomalyCount,MissingCount
237.65,3,1,1,0
237.72,3,1,1,0
237.78,3,1,1,0
237.85,3,1,1,0
237.92,3,1,1,0
237.98,3,1,1,0
238.05,3,1,1,0
238.11,3,1,1,0
238.18,3,1,1,0
238.25,3,1,1,0
238.31,3,1,1,0
238.38,3,1,1,0
238.45,3,1,1,0
238.51,3,1,1,0
238.58,3,1,1,0
238.64,3,1,1,0
238.71,3,1,1,0
238.78,3,1,1,0
238.84,3,1,1,0
238.91,3,1,1,0
238.97,3,1,1,0
239.04,3,1,1,0
239.11,3,1,1,0
239.18,3,1,1,0
239.24,3,1,1,0
239.31,3,1,1,0
239.37,3,1,1,0
239.44,3,1,1,0
239.51,3,1,1,0
239.57,3,1,1,0
239.64,3,1,1,0
239.71,3,1,1,0
239.77,3,1,1,0
239.84,3,1,1,0
239.9,3,1,1,0
239.97,3,1,1,0
240.04,3,1,1,0
240.1,3,1,1,0
240.17,3,1,1,0
240.24,3,1,1,0
240.3,3,1,1,0
240.37,3,1,1,0
240.44,3,1,1,0
240.5,3,1,1,0
240.57,3,1,1,0
240.64,3,1,1,0
240.7,3,1,1,0
240.77,3,1,1,0
240.83,3,1,1,0
240.9,3,1,1,0
240.97,3,1,1,0
241.03,3,1,1,0
241.1,3,1,1,0
241.17,3,1,1,0
241.23,3,1,1,0
241.3,3,1,1,0
241.37,3,1,1,0
241.43,3,1,1,0
241.5,3,1,1,0
241.56,3,1,1,0
241.63,3,1,1,0
241.7,3,1,1,0
241.76,3,1,1,0
241.83,3,1,1,0
241.9,3,1,1,0
241.96,3,1,1,0
242.03,3,1,1,0
242.1,3,1,1,0
242.16,3,1,1,0
242.23,3,1,1,0
242.3,3,1,1,0
242.36,3,1,1,0
242.43,3,1,1,0
242.5,3,1,1,0
242.56,3,1,1,0
242.63,3,1,1,0
242.7,3,1,1,0
242.76,3,1,1,0
242.83,3,1,1,0
242.9,3,1,1,0
242.96,3,1,1,0
243.03,3,1,1,0
243.1,3,1,1,0
243.16,3,1,1,0
243.23,3,1,1,0
243.3,3,1,1,0
243.37,3,1,1,0
243.44,3,1,1,0
243.5,3,1,1,0
243.57,3,1,1,0
243.64,3,1,1,0
243.7,3,1,1,0
243.77,3,1,1,0
243.83,3,1,1,0
243.9,3,1,1,0
243.97,3,1,1,0
244.03,3,1,1,0
244.1,3,1,1,0
244.16,3,1,1,0
244.23,3,1,1,0
244.3,3,1,1,0
244.36,3,1,1,0
244.43,3,1,1,0
244.49,3,1,1,0
244.56,3,1,1,0
244.63,3,1,1,0
244.69,3,1,1,0
244.76,3,1,1,0
244.82,3,1,1,0
244.89,3,1,1,0
244.96,3,1,1,0
245.02,3,1,1,0
245.09,3,1,1,0
245.15,3,1,1,0
245.22,3,1,1,0
245.29,3,1,1,0
245.35,3,1,1,0
245.42,3,1,1,0
245.49,3,1,1,0
245.55,3,1,1,0
245.62,3,1,1,0
245.68,3,1,1,0
245.75,3,1,1,0
245.82,3,1,1,0
245.88,3,1,1,0
245.95,3,1,1,0
246.02,3,1,1,0
246.08,3,1,1,0
246.15,3,1,1,0
246.22,3,1,1,0
246.28,3,1,1,0
246.35,3,1,1,0
246.41,3,1,1,0
246.48,3,1,1,0
246.55,3,1,1,0
246.61,3,1,1,0
246.68,3,1,1,0
246.75,3,1,1,0
246.81,3,1,1,0
246.88,3,1,1,0
246.94,3,1,1,0
247.01,3,1,1,0
247.08,3,1,1,0
247.14,3,1,1,0
247.21,3,1,1,0
247.28,3,1,1,0
247.34,3,1,1,0
247.41,3,1,1,0
247.48,3,1,1,0
247.54,3,1,1,0
247.61,3,1,1,0
247.68,3,1,1,0
247.74,3,1,1,0
247.81,3,1,1,0
247.88,3,1,1,0
247.94,3,1,1,0
248.01,3,1,1,0
248.07,3,1,1,0
248.14,3,1,1,0
248.21,3,1,1,0
