ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
4.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.9,0.0,0.0,30.374217,130.959968,269.94,0.0,1
4.97,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.03,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.36,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
5.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.09,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.29,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.36,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.49,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
6.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
7.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.21,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
8.34,0.0,0.0,30.374217,130.959968,269.94,0.0,1
