ElapsedSec,MagX,MagY,MagZ
35.77,520.88,-81.25,201.75
35.83,520.88,-81.25,201.75
35.9,520.88,-81.25,201.75
35.97,520.88,-81.25,201.75
36.03,520.88,-81.25,201.75
36.1,520.88,-81.25,201.75
36.17,520.88,-81.25,201.75
36.23,520.88,-81.25,201.75
36.3,520.88,-81.25,201.75
36.37,520.88,-81.25,201.75
36.43,520.88,-81.25,201.75
36.5,520.88,-81.25,201.75
36.56,520.88,-81.25,201.75
36.63,520.88,-81.25,201.75
36.7,520.88,-81.25,201.75
36.76,520.88,-81.25,201.75
36.83,520.88,-81.25,201.75
36.9,520.88,-81.25,201.75
36.96,520.88,-81.25,201.75
37.03,520.88,-81.25,201.75
37.1,520.88,-81.25,201.75
37.16,520.88,-81.25,201.75
37.23,520.88,-81.25,201.75
37.3,520.88,-81.25,201.75
37.36,520.88,-81.25,201.75
37.43,520.88,-81.25,201.75
37.5,520.88,-81.25,201.75
37.56,520.88,-81.25,201.75
37.63,520.88,-81.25,201.75
37.7,520.88,-81.25,201.75
37.76,520.88,-81.25,201.75
37.83,520.88,-81.25,201.75
37.9,520.88,-81.25,201.75
37.96,520.88,-81.25,201.75
38.03,520.88,-81.25,201.75
38.1,520.88,-81.25,201.75
38.16,520.88,-81.25,201.75
38.23,520.88,-81.25,201.75
38.3,520.88,-81.25,201.75
38.36,520.88,-81.25,201.75
38.43,520.88,-81.25,201.75
38.5,520.88,-81.25,201.75
38.57,520.88,-81.25,201.75
38.63,520.88,-81.25,201.75
38.7,520.88,-81.25,201.75
38.77,520.88,-81.25,201.75
38.83,520.88,-81.25,201.75
38.9,520.88,-81.25,201.75
38.96,520.88,-81.25,201.75
39.03,520.88,-81.25,201.75
39.1,520.88,-81.25,201.75
39.16,520.88,-81.25,201.75
39.23,520.88,-81.25,201.75
39.29,520.88,-81.25,201.75
39.36,520.88,-81.25,201.75
39.43,520.88,-81.25,201.75
39.49,520.88,-81.25,201.75
39.56,520.88,-81.25,201.75
39.62,520.88,-81.25,201.75
39.69,520.88,-81.25,201.75
39.76,520.88,-81.25,201.75
39.82,520.88,-81.25,201.75
39.89,520.88,-81.25,201.75
39.96,520.88,-81.25,201.75
40.02,520.88,-81.25,201.75
40.09,520.88,-81.25,201.75
40.15,520.88,-81.25,201.75
40.22,520.88,-81.25,201.75
40.29,520.88,-81.25,201.75
40.35,520.88,-81.25,201.75
40.42,520.88,-81.25,201.75
40.48,520.88,-81.25,201.75
40.55,520.88,-81.25,201.75
40.62,520.88,-81.25,201.75
40.68,520.88,-81.25,201.75
40.75,520.88,-81.25,201.75
40.81,520.88,-81.25,201.75
40.88,520.88,-81.25,201.75
40.95,520.88,-81.25,201.75
41.01,520.88,-81.25,201.75
41.08,520.88,-81.25,201.75
41.15,520.88,-81.25,201.75
41.21,520.88,-81.25,201.75
41.28,520.88,-81.25,201.75
41.35,520.88,-81.25,201.75
41.41,520.88,-81.25,201.75
41.48,520.88,-81.25,201.75
41.54,520.88,-81.25,201.75
41.61,520.88,-81.25,201.75
41.68,520.88,-81.25,201.75
41.74,520.88,-81.25,201.75
41.81,520.88,-81.25,201.75
41.88,520.88,-81.25,201.75
41.94,520.88,-81.25,201.75
42.01,520.88,-81.25,201.75
42.07,520.88,-81.25,201.75
42.14,520.88,-81.25,201.75
42.21,520.88,-81.25,201.75
42.28,520.88,-81.25,201.75
